id,name,time,comment
166,VIA DEI PESCI,6:15,CAPOLINEA
167,VIA RICCIARDI,6:15,
168,VIA RICCIARDI,6:16,
169,VIA FARINA,6:17,
170,VIA FRANGIONE,6:18,
171,VIA GUIDA,6:19,
172,P.ZZA S. AGNESE,6:20,
173,VIA CAPPUCCINI,6:21,
174,VIA CAPPUCCINI,6:21,
175,VIA CAPPUCCINI,6:21,
39,VIA LUCANA,6:22,Milizia
40,VIA LUCANA,6:22,
41,VIA LUCANA,6:23,Chiesa S. Rocco
42,VIA LUCANA,6:24,Provincia
43,VIA LUCANA,6:25,
44,VIA LUCANA,6:25,Inail
45,VIA LUCANA,6:28,Ex Bar Antico
46,VIA LUCANA,6:28,Cinema Duni
,VIA XX SETTEMBRE,6:28,
47,VIA ANNUNZIATELLA,6:30,inc. Via Rosselli
48,VIA ANNUNZIATELLA,6:31,Cons. di Bonif.
176,VIA NAZIONALE,6:32,Madonnina
177,VIA NAZIONALE,6:33,
139,VIA NAZIONALE,6:34,Farmacia
140,VIA NAZIONALE,6:35,
141,VIA NAZIONALE,6:37,Staz. Villa Longo
178,VIA DEI PEUCEZI,6:39,
179,VIA DEI PEUCEZI,6:40,
180,VIA DEI PEUCEZI,6:42,
181,VIA DEI PEUCEZI,6:43,
182,VIA DEI MESSAPI,6:44,
183,VIA DEI MESSAPI,6:45,inc. Sparacartucce
184,VIA DEI MESSAPI,6:46,
159,VIA DEI MESSAPI,6:46,
160,VIA DEI MESSAPI,6:47,
161,VIA DEI MESSAPI,6:47,
8,VIA DEI PEUCEZI,6:48,inc. Via Messapi
9,VIA DEI PEUCEZI,6:48,
10,VIA DEI PEUCEZI,6:49,inc. Via Japigi
11,VIA DEI PEUCEZI,6:49,
12,VIA NAZIONALE,6:50,Fr. Staz. Villa L.
13,VIA NAZIONALE,6:52,
14,VIA NAZIONALE,6:53,
15,VIA NAZIONALE,6:54,Fr. Farmacia
16,VIA NAZIONALE,6:55,
17,VIA ANNUNZIATELLA,6:55,
18,VIA ANNUNZIATELLA,6:56,
19,VIA ANNUNZIATELLA,6:57,inc.Via Rosselli
,VIA XX SETTEMBRE,6:58,
20,VIA LUCANA,6:58,
21-22,VIA LUCANA,7:00,Boschetto
23,VIA LUCANA,7:00,Inail
24,VIA LUCANA,7:01,
25,VIA LUCANA,7:02,Provincia
26,VIA LUCANA,7:02,Fr.Chiesa S.Rocco
27,VIA LUCANA,7:02,
28,VIA LUCANA,7:02,Milizia
29,VIA CAPPUCCINI,7:02,
30,VIA CAPPUCCINI,7:03,
31,VIA GUIDA,7:03,
32,VIA FRANGIONE,7:03,Scuola elem.
33,VIA FARINA,7:03,
34,VIA FARINA,7:04,
185,VIA COLUMELLA,7:04,
186,VIA COLUMELLA,7:04,
163,VIA DEL LEONE,7:04,
164,VIA DELLO SCORPIONE,7:05,
165,VIA DEL CAPRICORNO,7:05,
166,VIA DEI PESCI,7:05,CAPOLINEA